price,bedrooms,property_typeApartamento,property_typeCasa,mean_H_NRO_CUARTOS2,med_H_NRO_CUARTOS2,sum_HA_TOT_PER2,med_V_TOT_HOG2,mod_VA1_ESTRATO22,mod_VA1_ESTRATO23,mod_VA1_ESTRATO24,mod_VA1_ESTRATO25,mod_VA1_ESTRATO26,Final_Bathrooms_2,new_surface_def,bank_d,bus_station_d,casino_d,childcare_d,cinema_d,clinic_d,college_d,community_centre_d,conference_centre_d,dentist_d,doctors_d,events_d,fast_food_d,hospital_d,kindergarten_d,library_d,love_hotel_d,marketplace_d,monastery_d,parking_d,police_d,restaurant_d,bank,bus_station,casino,childcare,cinema,clinic,college,community_centre,conference_centre,dentist,doctors,events_venue,fast_food,hospital,kindergarten,library,love_hotel,marketplace,monastery,parking,police,restaurant,dist_cbd1,dist_cbd2,log_price
640000000,3,1,0,4.150760464263742,4.084239130434782,319.80434782608694,1,0,0,0,1,0,2,209.37349056603773,356.7257407545528,776.7746267496972,421.66695620451463,2131.5390401909103,1731.2936760925902,620.6596212554539,861.0027484680179,138.08752655302192,5260.93042356889,1712.5730308169989,1678.3169233307578,2938.7299661874986,442.6307980393981,620.1629577863229,2809.0153665145017,1717.959825932487,9725.33510111655,2483.2228277126806,8061.566289061846,383.1823631691359,225.7718676557904,295.0173080732711,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,15,16,19,17250.8604256406,15472.237832560117,20.276978734317993
1690000000,4,1,0,3.8346245831380514,3.794973544973545,235.36243386243387,1,0,0,0,0,1,4,424.84,261.8264799387613,581.908073077401,1910.3419123196554,2072.3979477325543,919.6630367966818,1306.0519041073612,2196.3291518111214,2148.519654065002,7368.868317859975,2067.907384109677,1730.2855745550407,4995.952101884168,1152.101251828027,1494.1818055559704,1537.2107033256239,3842.1592897349115,7730.092400350941,1759.5020839054537,7553.0053137906525,144.6890424237097,1223.1503723613323,902.4598552822378,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,14,14,4828.544207716902,4354.632776547202,21.247994365881393
295000000,3,1,0,4.042715440412371,3.902439024390244,261.1463414634146,1,0,0,1,0,0,3,110,1116.661472546275,1796.6509102680698,1151.9688676020114,1662.61997301898,12833.601307064146,1266.8783718869586,588.0870455925659,1374.3754782401359,2812.6219664885803,2494.844019881376,1533.0681142607154,2622.710914394974,316.2976048438726,599.0253094351522,1160.2656355803742,859.7119137519862,3447.510672596805,1778.2568187209565,3189.6434380788373,533.5771974978753,1169.3535040918118,795.0661929036414,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,5,5,5,12742.59711298607,10934.796085072481,19.502485914304096
491000000,2,1,0,4.870343303623788,4.92485549132948,363.271676300578,1,0,0,0,0,1,2,72,624.5214389514896,1462.4032215638172,955.5271475406288,523.1964156925281,3236.535427974967,159.9379455951903,3349.5812920589415,2215.2131153115047,4970.453951515051,1302.507613999283,3149.627787540852,3853.6385186933458,902.0033054573292,455.0996763561875,1148.1274470793467,3332.569312374685,4763.562964758711,1543.6007210723315,5392.619022128599,127.31157062639227,931.3123255114183,760.5524828879808,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,27,27,27,7227.526105404109,5418.753635141977,20.011954685758795
1350000000,3,0,1,4.5689092856287195,4.467741935483871,159.25806451612902,1,0,0,0,1,0,3,130.23333333333335,721.643799340548,619.7593536810542,2573.596217509325,2014.213206325683,4597.60344984641,571.6259669675726,3542.489492264326,992.976039723952,5431.936083391208,270.17224633987166,1985.7615042089415,3220.5064064350317,335.85488347961194,1972.317769811448,503.5292200559576,3050.088731010365,5937.53624832579,1928.2417274585848,2682.2668112987244,564.1430588041069,1266.320247643043,243.2881616945682,0,0,0,0,0,2,2,2,2,4,4,4,5,5,6,6,6,6,6,8,8,18,3491.951192379965,1527.5255708500556,21.02337042939675
298000000,3,0,1,4.023127235310829,4.07185628742515,1681.6946107784431,1,0,0,0,1,0,1,103.85359550561797,2020.077013591463,652.6418892795075,2497.489837642203,771.4871275407153,15131.697544718756,1250.4779314386733,720.1069385929826,1781.2758119432056,4183.062466298866,3500.2879147743092,2763.0452508637954,3136.115768220223,1614.6757114533382,1556.20319839725,1391.37879276202,1065.9568255240933,6527.46843628853,2288.1737308411207,1245.3610880209046,2.541384411280898,1236.7554982664344,1553.5054837467917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10586.810226796168,8773.472546316847,19.51260404446968
330000000,3,1,0,3.372272139925043,3.342857142857143,464.77142857142854,1,0,0,1,0,0,2,105.1225,647.313025245082,674.868877352083,4796.860745711383,3841.1307212001493,10443.84658597423,316.0702102228474,280.14276495213636,2088.8558186150644,1777.5858858792833,4516.702284564852,1238.208927709309,1827.1859626379444,3178.9185807189588,399.127009293136,1263.6431449081933,832.3438953777132,3062.3264629697383,11.748557061653727,4507.012116532825,276.70930804104836,653.1043512886079,460.04066836184603,0,0,0,0,0,1,5,5,5,5,5,5,5,7,7,7,7,8,8,9,9,10,15539.25915288237,13747.22530644127,19.6146032124248
320000000,4,0,1,3.655661317942163,3.391304347826087,353.9130434782609,1,0,1,0,0,0,3,300,830.3612437980831,3075.964148212752,1287.9056904061783,1391.0384073581552,11109.48683718909,1225.1924826729655,289.5269857115618,202.67599791097942,1674.2995147104834,850.3995685329453,1919.8028207725274,2449.8383994605133,1748.1536699877252,441.4279579352202,561.42200466074,322.1734360324649,2131.0082210720725,949.0371153824245,3156.523765574097,358.2061697491022,85.13267349713492,102.85234149508499,0,0,0,0,0,0,1,4,4,4,4,4,4,5,6,7,7,7,7,9,10,11,6132.548761560367,2013.9132120361946,19.583831553758046
580000000,3,1,0,4.136531254419046,4.073275862068965,1483.0818965517242,1,0,0,0,0,1,3,136.60615384615386,2025.6550215740197,1478.376424231586,1448.7690994844572,3602.9870630640635,13863.790957472678,872.2804432122796,1112.562843765796,3002.3508123911697,2848.590734531446,4871.76160222257,4504.394484321506,2867.2080370830745,1352.4459166173906,466.2951180327588,1542.5339851629587,2044.454090223743,5867.38227795194,3391.166440986109,3209.5631406873354,179.5967116074717,3228.932975813667,1390.891192929522,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,1455.8950032523908,6262.949175593562,20.17853866150474
1300000000,2,1,0,4.27186124301122,4.086378737541528,244.74418604651163,1,0,0,0,0,1,4,120.53072727272728,219.15843442396735,1016.3478198073042,1286.230600188561,2306.3554618425883,674.2794741116422,1246.9406405744771,1608.884217142909,1532.5264142121289,6741.137486741301,2039.698894847294,1362.5309306033175,4371.711853745479,1063.3382545578304,1209.7406179037134,1807.1305805111103,3223.5401649799373,8284.745391122857,2130.6257949211886,7583.767452101304,162.63237855052796,595.4711172288736,573.9473192382908,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,12,14,11366.603764055715,9565.05814357082,20.985630101413904
